lan_interface_id,lan_interface_name,lan_interface_dest_type,lag_min_links,is_native_range,lan_interface_index,network_range_id,network_range_name,subnet,local_ip,gateway,translated_subnet,vlan,mdns_reflector,range_type,internet_only,dhcp_type,dhcp_ip_range,dhcp_relay_group_id,dhcp_relay_group_name,dhcp_microsegmentation
,,,,,INT_5,,Example Direct 1604,10.160.4.0/24,10.160.4.1,,,,TRUE,Direct,FALSE,,,,,FALSE
,,,,,INT_5,,Example Routed 1602,10.160.2.0/24,,10.160.0.2,,,FALSE,Routed,FALSE,,,,,FALSE
,,,,,INT_5,,Example Routed 1603,10.160.3.0/24,,10.160.0.3,,,FALSE,Routed,FALSE,,,,,FALSE
,,,,,INT_5,,Example VLAN 1605,10.160.5.0/24,10.160.5.1,,,505,FALSE,VLAN,FALSE,DHCP_DISABLED,,,,FALSE
,,,,,INT_5,,Example VLAN 1606,10.160.6.0/24,10.160.6.1,,,506,FALSE,VLAN,FALSE,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_5,,Example VLAN 1607,10.160.7.0/24,10.160.7.1,,,507,FALSE,VLAN,FALSE,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_5,,Example VLAN 1608,10.160.8.0/24,10.160.8.1,,,508,FALSE,VLAN,FALSE,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_5,,Example VLAN 1609,10.160.9.0/24,10.160.9.1,,,509,FALSE,VLAN,FALSE,DHCP_RANGE,10.160.9.100-10.160.9.200,,,TRUE
,LAN 2,LAN,,TRUE,INT_6,,Native Range,10.160.10.0/24,10.160.10.1,,,,FALSE,VLAN,FALSE,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_6,,Example Direct 16013,10.160.13.0/24,10.160.13.1,,,,FALSE,Direct,FALSE,,,,,FALSE
,,,,,INT_6,,Example Routed 16011,10.160.11.0/24,,10.160.10.2,,,FALSE,Routed,FALSE,,,,,FALSE
,,,,,INT_6,,Example Routed 16012,10.160.12.0/24,,10.160.10.3,,,FALSE,Routed,FALSE,,,,,FALSE
,,,,,INT_6,,Example VLAN 16014,10.160.14.0/24,10.160.14.1,,,514,FALSE,VLAN,FALSE,DHCP_DISABLED,,,,FALSE
,,,,,INT_6,,Example VLAN 16015,10.160.15.0/24,10.160.15.1,,,515,FALSE,VLAN,FALSE,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_6,,Example VLAN 16016,10.160.16.0/24,10.160.16.1,,,516,FALSE,VLAN,FALSE,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_6,,Example VLAN 16017,10.160.17.0/24,10.160.17.1,,,517,FALSE,VLAN,FALSE,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_6,,Example VLAN 16018,10.160.18.0/24,10.160.18.1,,,518,FALSE,VLAN,FALSE,DHCP_RANGE,10.160.18.100-10.160.18.200,,,TRUE
